id,start_time,end_time,meters,service,calories,climb
b86c5a89-2d6d-11ea-bee9-06fe85f8df16,2020-01-02-14:26:37,2020-01-02-14:39:36,3587.1,strava,0,0
b86e6fc9-2d6d-11ea-beeb-06fe85f8df16,2019-12-24-18:59:26,2019-12-24-19:11:55,2906.6,strava,0,0
b86ef82d-2d6d-11ea-beed-06fe85f8df16,2019-12-23-17:58:24,2019-12-23-19:05:21,6576.4,strava,0,0
b86f822b-2d6d-11ea-beee-06fe85f8df16,2019-12-20-22:12:09,2019-12-20-23:19:18,4074.8,strava,0,0
b86fb29d-2d6d-11ea-beef-06fe85f8df16,2019-12-20-14:07:36,2019-12-20-14:20:08,3637.8,strava,0,0
b86ff270-2d6d-11ea-bef0-06fe85f8df16,2019-12-19-23:38:59,2019-12-19-23:56:25,3861.7,strava,0,0
b87021a8-2d6d-11ea-bef1-06fe85f8df16,2019-12-19-14:11:28,2019-12-19-14:25:47,3654.9,strava,0,0
b8702cbd-2d6d-11ea-bef2-06fe85f8df16,2019-12-18-00:50:01,2019-12-18-01:05:01,2735.9,strava,0,0
b8703267-2d6d-11ea-bef3-06fe85f8df16,2019-12-17-17:15:26,2019-12-17-17:30:26,2414,strava,0,0
b870757f-2d6d-11ea-bef4-06fe85f8df16,2019-12-16-22:16:50,2019-12-16-23:03:33,4636.8,strava,0,0
b870aab1-2d6d-11ea-bef5-06fe85f8df16,2019-12-16-14:02:55,2019-12-16-14:14:31,3720.4,strava,0,0
b870b577-2d6d-11ea-bef6-06fe85f8df16,2019-12-13-23:00:10,2019-12-13-23:12:10,3862.4,strava,0,0
b870e237-2d6d-11ea-bef7-06fe85f8df16,2019-12-13-16:35:34,2019-12-13-16:48:57,3731.9,strava,0,0
b8710fb9-2d6d-11ea-bef8-06fe85f8df16,2019-12-12-22:54:39,2019-12-12-23:12:30,4094.8,strava,0,0
b8714181-2d6d-11ea-bef9-06fe85f8df16,2019-12-12-14:51:43,2019-12-12-15:03:49,3537.5,strava,0,0
b8714bb5-2d6d-11ea-befa-06fe85f8df16,2019-12-11-01:10:13,2019-12-11-01:33:13,5632.7,strava,0,0
