id,start_time,end_time,meters,service,calories,climb
212656b3-0569-11ea-8da6-06fe85f8df16,2019-07-15-12:33:19,2019-07-15-13:07:35,6333.9,strava,0,68.2
2126aa36-0569-11ea-8da7-06fe85f8df16,2019-07-13-12:29:56,2019-07-13-13:03:30,5721.1,strava,0,17.8
2127da11-0569-11ea-8daa-06fe85f8df16,2019-07-11-11:06:16,2019-07-11-11:30:52,4844.9,strava,0,10.6
21293dfe-0569-11ea-8dad-06fe85f8df16,2019-07-10-11:10:22,2019-07-10-11:55:08,8560,strava,0,39.7
21778e21-0569-11ea-8db4-06fe85f8df16,2019-07-08-10:55:19,2019-07-08-11:19:44,4572.7,strava,0,53.6
21784e10-0569-11ea-8db5-06fe85f8df16,2019-07-06-11:03:05,2019-07-06-11:45:52,6359,strava,0,54.6
2178c54c-0569-11ea-8db6-06fe85f8df16,2019-07-03-11:06:55,2019-07-03-11:27:06,3446.3,strava,0,33.8
218162e1-0569-11ea-8dbe-06fe85f8df16,2019-06-28-11:07:31,2019-06-28-11:32:41,5058.3,strava,0,35.6
21d852c6-0569-11ea-8de3-06fe85f8df16,2019-06-17-23:06:28,2019-06-17-23:36:38,5135.2,strava,0,17.2
21dc4df1-0569-11ea-8df1-06fe85f8df16,2019-06-08-12:23:26,2019-06-08-13:03:09,6127.8,strava,0,80.8
21dcf63f-0569-11ea-8df3-06fe85f8df16,2019-06-06-21:18:35,2019-06-06-21:46:52,4712.1,strava,0,12.3
21e0e583-0569-11ea-8df8-06fe85f8df16,2019-05-23-10:52:12,2019-05-23-11:41:43,8549.3,strava,0,31.8
d9db711a-70e5-11e9-ae33-02531640780c,2019-05-07-06:00:00,2019-05-07-06:27:00,5278,gyroscope,0,
06b041dc-6b70-11e9-8ea8-02531640780c,2019-04-30-06:00:00,2019-04-30-06:22:00,3975,gyroscope,0,
42fa2848-69df-11e9-a921-02531640780c,2019-04-28-16:50:42,2019-04-28-17:23:44,4440.2515,runkeeper,321,46.536366
c71ecfbe-666c-11e9-95d8-02531640780c,2019-04-24-06:14:44,2019-04-24-06:49:51,7242.048,runkeeper,547,0
